"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"7761","TE","Jared","Cook","6.7","16","5200","SEA@STL","STL","SEA","","","",""
"11562","TE","Andrew","Quarless","4.1","16","5200","GB@CHI","GB","CHI","","","",""
"21984","RB","Isaiah","Pead","0","0","5100","SEA@STL","STL","SEA","","","",""
"21971","TE","Coby","Fleener","9.4","16","5100","IND@BUF","IND","BUF","","","",""
"6427","K","Connor","Barth","13","5","5100","TEN@TB","TB","TEN","","","",""
"37245","RB","Foswhitt","Whittaker","3.5","10","5100","CAR@JAC","CAR","JAC","","","",""
"32354","WR","Malcome","Kennedy","0","0","5100","NO@ARI","NO","ARI","","","",""
"47953","WR","Lucky","Whitehead","0","0","5100","NYG@DAL","DAL","NYG","","","",""
"14757","RB","Matt","Asiata","11.5","15","5100","MIN@SF","MIN","SF","","","",""
"39649","RB","Benny","Cunningham","6.4","16","5100","SEA@STL","STL","SEA","","","",""
"27847","WR","Shane","Wynn","0","0","5100","CLE@NYJ","CLE","NYJ","","","",""
"6897","K","Mason","Crosby","9.2","16","5100","GB@CHI","GB","CHI","","","",""
"6724","K","Steven","Hauschka","9.2","16","5100","SEA@STL","SEA","STL","","","",""
"34288","WR","Rannell","Hall","0","0","5100","TEN@TB","TB","TEN","","","",""
"34275","RB","Storm","Johnson","3.5","6","5100","CAR@JAC","JAC","CAR","","","",""
"30807","TE","Mychal","Rivera","6.5","16","5100","CIN@OAK","OAK","CIN","","","",""
"11532","TE","Dennis","Pitta","6.8","3","5100","BAL@DEN","BAL","DEN","NA","Hip","",""
"27134","WR","Dorial","Green-Beckham","0","0","5100","TEN@TB","TEN","TB","P","Ankle","",""
"30610","QB","Dylan","Thompson","0","0","5000","MIN@SF","SF","MIN","","","",""
"30640","QB","Connor","Shaw","5","1","5000","CLE@NYJ","CLE","NYJ","IR","Thumb","",""
"43956","QB","David","Fales","0","0","5000","GB@CHI","CHI","GB","","","",""
"26355","QB","Logan","Thomas","3.6","2","5000","MIA@WAS","MIA","WAS","","","",""
"33128","QB","Shane","Carden","0","0","5000","GB@CHI","CHI","GB","","","",""
"45797","QB","Garrett","Grayson","0","0","5000","NO@ARI","NO","ARI","","","",""
"30364","QB","Aaron","Murray","0","0","5000","KC@HOU","KC","HOU","","","",""
"26498","WR","Stedman","Bailey","5.1","14","5000","SEA@STL","STL","SEA","","","",""
"28434","QB","Trevor","Siemian","0","0","5000","BAL@DEN","DEN","BAL","","","",""
"54705","QB","Dustin","Vaughan","0","0","5000","NYG@DAL","DAL","NYG","","","",""
"6387","WR","Miles","Austin","7.7","12","5000","PHI@ATL","PHI","ATL","","","",""
"32366","QB","Jameill","Showers","0","0","5000","NYG@DAL","DAL","NYG","","","",""
"15008","QB","McLeod","Bethel-Thompson","0","0","5000","MIA@WAS","MIA","WAS","","","",""
"54654","QB","Seth","Lobato","0","0","5000","TEN@TB","TB","TEN","","","",""
"14952","K","Dan","Bailey","9.3","16","5000","NYG@DAL","DAL","NYG","","","",""
"30298","TE","Jordan","Reed","6.3","11","5000","MIA@WAS","WAS","MIA","","","",""
"43563","QB","Cody","Fajardo","0","0","5000","CIN@OAK","OAK","CIN","","","",""
"30335","QB","Hutson","Mason","0","0","5000","MIA@WAS","WAS","MIA","","","",""
"62630","QB","Jerry","Lovelocke","0","0","5000","BAL@DEN","BAL","DEN","","","",""
"33557","TE","Tyler","Eifert","5.2","1","5000","CIN@OAK","CIN","OAK","","","",""
"30195","QB","Jeff","Tuel","0","0","5000","CAR@JAC","JAC","CAR","","","",""
"25812","QB","Stephen","Morris","0","0","5000","PHI@ATL","PHI","ATL","","","",""
"12550","D","Seattle","Seahawks","0","0","5000","SEA@STL","SEA","STL","","","",""
"39452","QB","Brad","Sorensen","0","0","5000","DET@SD","SD","DET","","","",""
"39454","QB","Zac","Dysert","0","0","5000","GB@CHI","CHI","GB","","","",""
"10354","RB","Marcel","Reece","3.8","15","5000","CIN@OAK","OAK","CIN","","","",""
"32158","QB","Garrett","Gilbert","0","0","5000","DET@SD","DET","SD","","","",""
"22288","WR","Cole","Beasley","5","16","5000","NYG@DAL","DAL","NYG","","","",""
"22292","RB","Lance","Dunbar","2.5","16","5000","NYG@DAL","DAL","NYG","","","",""
"25693","QB","Chase","Rettig","0","0","5000","DET@SD","SD","DET","","","",""
"31798","QB","Bryce","Petty","0","0","5000","CLE@NYJ","NYJ","CLE","","","",""
"6831","QB","Matt","Hasselbeck","4.2","4","5000","IND@BUF","IND","BUF","","","",""
"39900","RB","Khiry","Robinson","6.1","10","5000","NO@ARI","NO","ARI","Q","Undisclosed","",""
"10647","K","Matt","Bryant","9.3","16","5000","PHI@ATL","ATL","PHI","","","",""
"22187","QB","Chandler","Harnish","0","0","5000","NO@ARI","ARI","NO","","","",""
"29915","QB","Brett","Hundley","0","0","5000","GB@CHI","GB","CHI","","","",""
"6884","WR","Hakeem","Nicks","5.2","16","5000","TEN@TB","TEN","TB","","","",""
"29734","WR","Ty","Montgomery","0","0","5000","GB@CHI","GB","CHI","Q","Hamstring","",""
"6668","K","Adam","Vinatieri","9.6","16","5000","IND@BUF","IND","BUF","","","",""
"31879","WR","Deontay","Greenberry","0","0","5000","SEA@STL","SEA","STL","","","",""
"6702","K","Phil","Dawson","7.8","16","5000","MIN@SF","SF","MIN","","","",""
"14377","QB","Tyrod","Taylor","-0.1","1","5000","IND@BUF","BUF","IND","","","",""
"39787","QB","Jake","Waters","0","0","5000","SEA@STL","SEA","STL","","","",""
"6768","WR","Eddie","Royal","9.4","16","5000","GB@CHI","CHI","GB","P","Hip","",""
"14362","TE","Charles","Clay","7.7","14","5000","IND@BUF","BUF","IND","","","",""
"25969","QB","Tom","Savage","0.7","2","5000","KC@HOU","HOU","KC","IR","Shoulder","",""
"33488","TE","Troy","Niklas","0.8","7","5000","NO@ARI","ARI","NO","Q","Hamstring","",""
"22820","QB","Matt","Simms","1.8","1","5000","IND@BUF","BUF","IND","","","",""
"22894","QB","Kellen","Moore","0","0","5000","DET@SD","DET","SD","","","",""
"25272","TE","Eric","Ebron","3.3","13","5000","DET@SD","DET","SD","P","Undisclosed","",""
"25278","QB","Bryn","Renner","0","0","5000","BAL@DEN","BAL","DEN","","","",""
"11982","QB","R.J.","Archer","0","0","5000","SEA@STL","SEA","STL","","","",""
"29605","QB","Matt","Barkley","0","1","5000","NO@ARI","ARI","NO","","","",""
"22958","RB","Bobby","Rainey","6.3","15","5000","TEN@TB","TB","TEN","","","",""
"22969","QB","Matt","Blanchard","0","0","5000","GB@CHI","GB","CHI","","","",""
"29445","QB","Sean","Mannion","0","0","5000","SEA@STL","STL","SEA","","","",""
"14326","QB","Ricky","Stanzi","0","0","5000","NYG@DAL","NYG","DAL","","","",""
"22994","QB","Case","Keenum","12.4","2","5000","SEA@STL","STL","SEA","","","",""
"53331","QB","Taylor","Heinicke","0","0","5000","MIN@SF","MIN","SF","","","",""
"25549","QB","Phillip","Sims","0","0","5000","NO@ARI","ARI","NO","","","",""
"29333","QB","Bryan","Bennett","0","0","5000","IND@BUF","IND","BUF","","","",""
"31280","K","Cody","Parkey","10.1","16","5000","PHI@ATL","PHI","ATL","P","Leg","",""
"24779","QB","Anthony","Boone","0","0","5000","DET@SD","DET","SD","","","",""
"11479","RB","Toby","Gerhart","5.1","14","5000","CAR@JAC","JAC","CAR","P","Abdomen","",""
